epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.078,2.37418,10.2525,2.90634,0.42718,0.30939,0.3177,0.17067,2.23825,6.18288,2.36775,0.0875735,3.11441e-05,3.11441e-05
2,189.651,2.19402,5.69735,2.68815,0.55422,0.43704,0.45704,0.24255,2.14572,4.83561,2.2358,0.0751047,6.23325e-05,6.23325e-05
3,239.521,2.09254,4.96083,2.56946,0.63387,0.46552,0.49368,0.24598,2.32254,4.72184,2.35983,0.0626356,9.32749e-05,9.32749e-05
4,289.188,2.05088,4.48103,2.51221,0.75804,0.53198,0.6094,0.30601,2.31155,4.01409,2.26518,0.0501662,0.000123788,0.000123788
5,341.248,2.01124,4.14542,2.53482,0.79091,0.53622,0.60877,0.33143,2.16188,3.89023,2.21593,0.0376961,0.000153691,0.000153691
6,394.252,1.99876,4.05382,2.46943,0.81444,0.54079,0.64029,0.34296,2.10883,3.63792,2.1251,0.0252252,0.000182808,0.000182808
7,445.885,1.99019,3.81878,2.45931,0.77546,0.59114,0.65876,0.35869,2.07039,3.40567,2.09937,0.0127533,0.000210967,0.000210967
8,496.18,1.94899,3.7588,2.43264,0.8411,0.56098,0.66439,0.34359,2.26762,3.34809,2.2335,0.000280375,0.000238003,0.000238003
9,544.557,1.93973,3.53724,2.39,0.84249,0.5978,0.67569,0.38112,2.09711,3.30745,2.13172,0.000234538,0.000234538,0.000234538
10,595.79,1.9233,3.44717,2.42148,0.84648,0.60785,0.69506,0.3973,2.08963,3.12996,2.12171,0.000230541,0.000230541,0.000230541
11,647.687,1.92233,3.43247,2.42128,0.84966,0.60846,0.71147,0.43905,1.81329,2.91283,2.00426,0.000226127,0.000226127,0.000226127
12,700.051,1.91252,3.34881,2.38555,0.85836,0.61223,0.70454,0.38392,2.20142,3.13902,2.16568,0.000221314,0.000221314,0.000221314
13,752.138,1.87217,3.20969,2.36929,0.87193,0.64176,0.72836,0.42998,1.99729,2.90295,2.05723,0.000216121,0.000216121,0.000216121
14,803.115,1.87268,3.19554,2.35001,0.85773,0.66055,0.73731,0.38543,2.22934,2.93654,2.18265,0.000210569,0.000210569,0.000210569
15,853.651,1.87084,3.10863,2.34445,0.8604,0.6577,0.73151,0.42558,1.98975,2.83883,2.03416,0.000204678,0.000204678,0.000204678
16,904.055,1.83753,3.05624,2.29273,0.8859,0.64365,0.73859,0.41043,2.14131,2.88428,2.1339,0.000198473,0.000198473,0.000198473
17,956.936,1.82269,2.96117,2.30432,0.88572,0.6547,0.74371,0.39419,2.2406,2.81838,2.16671,0.000191979,0.000191979,0.000191979
18,1007.27,1.83304,2.90831,2.30148,0.90948,0.65344,0.75305,0.43233,1.9892,2.60094,2.05278,0.00018522,0.00018522,0.00018522
19,1059.2,1.79214,2.84228,2.30467,0.89349,0.67606,0.75532,0.42601,1.99201,2.60967,2.01384,0.000178223,0.000178223,0.000178223
20,1111.77,1.79476,2.81759,2.27608,0.91209,0.64418,0.75536,0.43793,1.99126,2.72055,2.03771,0.000171016,0.000171016,0.000171016
21,1162.28,1.7683,2.77411,2.27242,0.85173,0.67249,0.74157,0.44441,1.93474,2.61953,1.99426,0.000163628,0.000163628,0.000163628
22,1214.1,1.75712,2.74831,2.25639,0.90285,0.66347,0.75333,0.45563,1.87766,2.56631,1.98829,0.000156087,0.000156087,0.000156087
23,1264.62,1.75439,2.6707,2.22545,0.90499,0.68489,0.76403,0.46098,1.88216,2.47105,1.96632,0.000148423,0.000148423,0.000148423
24,1314.77,1.74494,2.59709,2.21727,0.88433,0.67411,0.754,0.447,1.90279,2.57507,1.96638,0.000140667,0.000140667,0.000140667
25,1365.82,1.75848,2.61178,2.21939,0.87092,0.69052,0.76835,0.44087,2.01076,2.51094,2.03494,0.000132849,0.000132849,0.000132849
26,1417.08,1.73187,2.5551,2.21792,0.94538,0.6734,0.78276,0.49082,1.74347,2.39764,1.92916,0.000125001,0.000125001,0.000125001
27,1467.04,1.69839,2.44507,2.18335,0.95795,0.65139,0.7742,0.4638,1.85831,2.45484,1.94428,0.000117152,0.000117152,0.000117152
28,1517.53,1.6864,2.49095,2.15798,0.90824,0.69025,0.76971,0.48591,1.7601,2.32678,1.88938,0.000109334,0.000109334,0.000109334
29,1570.09,1.67361,2.38627,2.19333,0.91985,0.68387,0.76709,0.49132,1.72747,2.26989,1.89811,0.000101578,0.000101578,0.000101578
